full 0.0804 trim 0.0520 | per-origin full [0.055  0.0917 0.0946] trim [0.055  0.0472 0.0537] | {"connectivity": 1.0, "input_scale": {"bias": 0.1, "stimulus": 50.0}, "layers": [368], "leak": [0.02, 0.3], "ridge": 1e-07, "voltage_feedback": false}
full 0.0813 trim 0.0528 | per-origin full [0.055  0.093  0.0959] trim [0.055  0.0484 0.0549] | {"input_scale": {"bias": 0.1, "stimulus": 200.0}, "layers": [368], "leak": [0.02, 0.3], "ridge": 1e-07, "voltage_feedback": false}
full 0.0815 trim 0.0530 | per-origin full [0.0558 0.0926 0.0962] trim [0.0558 0.0479 0.0555] | {"input_scale": {"bias": 0.1, "stimulus": 50.0}, "layers": [368], "leak": [0.02, 0.2], "ridge": 1e-07, "voltage_feedback": false}
full 0.0821 trim 0.0532 | per-origin full [0.0546 0.095  0.0966] trim [0.0546 0.0503 0.0547] | {"input_scale": {"bias": 0.1, "stimulus": 50.0}, "layers": [368], "leak": [0.02, 0.3], "ridge": 3e-08, "voltage_feedback": false}
full 0.0813 trim 0.0533 | per-origin full [0.055  0.0928 0.0959] trim [0.055  0.0492 0.0557] | {"input_scale": {"bias": 0.1, "stimulus": 50.0}, "layers": [368], "leak": [0.02, 0.3], "ridge": 1e-07, "voltage_feedback": false}
full 0.0813 trim 0.0534 | per-origin full [0.0555 0.0924 0.0959] trim [0.0555 0.049  0.0556] | {"input_scale": {"bias": 0.1, "stimulus": 50.0}, "layers": [368], "leak": [0.02, 0.5], "ridge": 1e-07, "voltage_feedback": false}
full 0.0809 trim 0.0534 | per-origin full [0.0561 0.0912 0.0953] trim [0.0561 0.0481 0.0561] | {"input_scale": {"bias": 0.1, "stimulus": 50.0}, "layers": [368], "leak": [0.02, 0.3], "ridge": 1e-07, "spectral_radius": 0.85, "voltage_feedback": false}
full 0.0813 trim 0.0535 | per-origin full [0.0555 0.0924 0.0958] trim [0.0555 0.0491 0.0559] | {"input_scale": {"bias": 0.1, "stimulus": 50.0}, "layers": [368], "leak": [0.03, 0.3], "ridge": 1e-07, "voltage_feedback": false}
full 0.0813 trim 0.0537 | per-origin full [0.0565 0.092  0.0955] trim [0.0565 0.0487 0.0558] | {"input_scale": {"bias": 0.1, "stimulus": 50.0}, "layers": [368], "leak": [0.01, 0.3], "ridge": 1e-07, "voltage_feedback": false}
full 0.0815 trim 0.0538 | per-origin full [0.0558 0.0924 0.0962] trim [0.0558 0.0489 0.0567] | {"input_scale": {"bias": 0.1, "stimulus": 50.0}, "layers": [368], "leak": [0.02, 0.3], "ridge": 3e-07, "voltage_feedback": false}
full 0.0812 trim 0.0543 | per-origin full [0.0567 0.0917 0.0951] trim [0.0567 0.0498 0.0565] | {"input_scale": {"bias": 0.1, "stimulus": 50.0}, "layers": [368], "leak": [0.01, 0.5], "ridge": 1e-07, "voltage_feedback": false}
full 0.1028 trim 0.0555 | per-origin full [0.058  0.1252 0.1252] trim [0.058  0.0543 0.054 ] | {"all_layers_to_output": true, "input_scale": {"bias": 0.1, "stimulus": 2.0}, "input_to_all_layers": true, "inter_scale": 2.0, "layers": [184, 184], "leak": [0.1, 0.02], "ridge": 1e-07, "voltage_feedback": false}
full 0.0838 trim 0.0558 | per-origin full [0.0574 0.096  0.098 ] trim [0.0574 0.0523 0.0577] | {"all_layers_to_output": true, "input_scale": {"bias": 0.1, "stimulus": 2.0}, "input_to_all_layers": true, "inter_scale": 2.0, "layers": [184, 184], "leak": 0.1, "ridge": 1e-05, "voltage_feedback": false}
full 0.0945 trim 0.0574 | per-origin full [0.0573 0.1143 0.1118] trim [0.0573 0.057  0.0578] | {"all_layers_to_output": true, "input_scale": {"bias": 0.1, "stimulus": 2.0}, "input_to_all_layers": true, "inter_scale": 2.0, "layers": [184, 184], "leak": 0.1, "ridge": 1e-07, "voltage_feedback": false}
full 0.0859 trim 0.0576 | per-origin full [0.0605 0.0973 0.1   ] trim [0.0605 0.0537 0.0586] | {"all_layers_to_output": true, "input_scale": {"bias": 0.1, "stimulus": 2.0}, "input_to_all_layers": true, "inter_scale": 1.0, "layers": [184, 184], "leak": [0.02, 0.3], "ridge": 1e-07, "voltage_feedback": false}
full 0.1273 trim 0.0589 | per-origin full [0.0592 0.1672 0.1555] trim [0.0592 0.0603 0.0571] | {"all_layers_to_output": true, "input_scale": {"bias": 0.1, "stimulus": 10.0}, "input_to_all_layers": true, "inter_scale": 2.0, "layers": [184, 184], "leak": 0.1, "ridge": 1e-07, "voltage_feedback": false}
full 0.0885 trim 0.0589 | per-origin full [0.0628 0.1002 0.1025] trim [0.0628 0.0545 0.0595] | {"all_layers_to_output": true, "input_scale": {"bias": 0.1, "stimulus": 50.0}, "input_to_all_layers": true, "inter_scale": 0.0, "layers": [184, 184], "leak": [0.02, 0.3], "ridge": 1e-07, "voltage_feedback": false}
